word,V/C Ratio,S-Score,ULetters
imams,0.67,9,4
strad,0.25,6,5
venae,1.5,8,4
skene,0.67,9,4
moten,0.67,7,5
rugby,0.25,11,5
goels,0.67,6,5
khazi,0.67,21,5
belit,0.67,7,5
smolt,0.25,7,5
morin,0.67,7,5
ofays,0.67,11,5
sural,0.67,5,5
janny,0.25,15,4
short,0.25,8,5
swish,0.25,11,4
haets,0.67,8,5
owned,0.67,9,5
musky,0.25,14,5
gimps,0.25,10,5
nodes,0.67,6,5
lefty,0.25,11,5
furca,0.67,10,5
exome,1.5,14,4
dribs,0.25,8,5
gouks,0.67,10,5
smews,0.25,10,4
munts,0.25,7,5
chiro,0.67,10,5
learn,0.67,5,5
mocus,0.67,9,5
slime,0.67,7,5
mokis,0.67,11,5
nevis,0.67,8,5
arcus,0.67,7,5
prigs,0.25,8,5
rente,0.67,5,4
yfere,0.67,11,4
hiker,0.67,12,5
crame,0.67,9,5
irked,0.67,10,5
naira,1.5,5,4
stire,0.67,5,5
nagas,0.67,6,4
peisy,0.67,10,5
miser,0.67,7,5
vivda,0.67,12,4
dolie,1.5,6,5
weave,1.5,11,4
umbel,0.67,9,5
barmy,0.25,12,5
louns,0.67,5,5
didos,0.67,7,4
viold,0.67,9,5
fowth,0.25,14,5
guqin,0.67,15,5
kayos,0.67,12,5
finca,0.67,10,5
taths,0.25,8,4
eliad,1.5,6,5
dorts,0.25,6,5
cooey,1.5,10,4
dicty,0.25,11,5
bobak,0.67,13,4
lowse,0.67,8,5
tuile,1.5,5,5
laked,0.67,10,5
tarts,0.25,5,4
reefy,0.67,11,4
agama,1.5,8,3
thing,0.25,9,5
shore,0.67,8,5
nicks,0.25,11,5
nunny,0.25,8,3
akoya,1.5,12,4
snaws,0.25,8,4
writs,0.25,8,5
doubt,0.67,8,5
alive,1.5,8,5
beaut,1.5,7,5
ibrik,0.67,11,4
hemps,0.25,12,5
towed,0.67,9,5
crout,0.67,7,5
mogul,0.67,8,5
halid,0.67,9,5
pecky,0.25,16,5
eched,0.67,11,4
musit,0.67,7,5
couth,0.67,10,5
acron,0.67,7,5
dynes,0.25,9,5
gothy,0.25,12,5
bundy,0.25,11,5
seeps,0.67,7,3
deeps,0.67,8,4
plene,0.67,7,4
kukus,0.67,13,3
petre,0.67,7,4
putto,0.67,7,4
darls,0.25,6,5
warps,0.25,10,5
shoji,0.67,15,5
emoji,1.5,14,5
hiked,0.67,13,5
omits,0.67,7,5
rainy,0.67,8,5
fills,0.25,8,4
zines,0.67,14,5
bores,0.67,7,5
algor,0.67,6,5
oliva,1.5,8,5
midge,0.67,9,5
vizor,0.67,17,5
hafta,0.67,11,4
mulla,0.67,7,4
paled,0.67,8,5
kneed,0.67,10,4
fibre,0.67,10,5
ptish,0.25,10,5
redan,0.67,6,5
exode,1.5,13,4
zorro,0.67,14,3
droll,0.25,6,4
niece,1.5,7,4
segno,0.67,6,5
sceat,0.67,7,5
tunes,0.67,5,5
mompe,0.67,11,4
radon,0.67,6,5
akkas,0.67,13,3
jowly,0.25,18,5
gandy,0.25,10,5
medii,1.5,8,4
knelt,0.25,9,5
evoke,1.5,12,4
lowts,0.25,8,5
teaks,0.67,9,5
bucko,0.67,13,5
groks,0.25,10,5
leafy,0.67,11,5
meses,0.67,7,3
synes,0.25,8,4
laths,0.25,8,5
zedas,0.67,15,5
blank,0.25,11,5
japed,0.67,15,5
voled,0.67,9,5
toxic,0.67,14,5
reach,0.67,10,5
nazzy,0.25,26,4
pubsy,0.25,12,5
pedro,0.67,8,5
cucks,0.25,13,4
baith,0.67,10,5
magas,0.67,8,4
gompa,0.67,10,5
bilby,0.25,12,4
popes,0.67,9,4
hents,0.25,8,5
auras,1.5,5,4
giddy,0.25,11,4
tacos,0.67,7,5
onned,0.67,6,4
bowed,0.67,11,5
tsars,0.25,5,4
slogs,0.25,6,4
grind,0.25,7,5
morel,0.67,7,5
asada,1.5,6,3
weeke,1.5,12,3
winna,0.67,8,4
amman,0.67,9,3
sabji,0.67,14,5
runts,0.25,5,5
slops,0.25,7,4
tread,0.67,6,5
loofa,1.5,8,4
fever,0.67,11,4
glove,0.67,9,5
trist,0.25,5,4
creps,0.25,9,5
pheon,0.67,10,5
beres,0.67,7,4
corso,0.67,7,4
sofar,0.67,8,5
reeze,1.5,14,3
pisos,0.67,7,4
lames,0.67,7,5
treck,0.25,11,5
boabs,0.67,9,4
apply,0.25,12,4
grata,0.67,6,4
daals,0.67,6,4
soyas,0.67,8,4
amour,1.5,7,5
gerne,0.67,6,4
dudes,0.67,7,4
nifle,0.67,8,5
again,1.5,6,4
slurp,0.25,7,5
ulnar,0.67,5,5
ettin,0.67,5,4
noles,0.67,5,5
gobar,0.67,8,5
bohos,0.67,10,4
kawas,0.67,12,4
radgy,0.25,10,5
coati,1.5,7,5
scail,0.67,7,5
helot,0.67,8,5
motel,0.67,7,5
tides,0.67,6,5
coven,0.67,10,5
jasey,0.67,15,5
flown,0.25,11,5
urubu,1.5,7,3
kiddo,0.67,11,4
nrtya,0.25,8,5
pinna,0.67,7,4
curbs,0.25,9,5
botas,0.67,7,5
cycle,0.25,12,4
yugas,0.67,9,5
ugali,1.5,6,5
opter,0.67,7,5
laver,0.67,8,5
ousts,0.67,5,4
ootid,1.5,6,4
easel,1.5,5,4
lewis,0.67,8,5
renos,0.67,5,5
paned,0.67,8,5
cunit,0.67,7,5
muils,0.67,7,5
jehus,0.67,15,5
ebike,1.5,11,4
cotch,0.25,12,4
upper,0.67,9,4
theor,0.67,8,5
unais,1.5,5,5
idiot,1.5,6,4
manes,0.67,7,5
sawer,0.67,8,5
gazoo,1.5,15,4
edged,0.67,8,3
pikey,0.67,14,5
meech,0.67,12,4
adyts,0.25,9,5
boite,1.5,7,5
ixias,1.5,12,4
alios,1.5,5,5
padle,0.67,8,5
lotah,0.67,8,5
ragas,0.67,6,4
pudus,0.67,8,4
meare,1.5,7,4
graip,0.67,8,5
quack,0.67,20,5
noise,1.5,5,5
livre,0.67,8,5
pheme,0.67,12,4
chest,0.25,10,5
lined,0.67,6,5
azlon,0.67,14,5
waves,0.67,11,5
achoo,1.5,10,4
valve,0.67,11,4
mawks,0.25,14,5
hydro,0.25,12,5
muxed,0.67,15,5
etude,1.5,6,4
smith,0.25,10,5
mends,0.25,8,5
pisco,0.67,9,5
cilia,1.5,7,4
algos,0.67,6,5
nenes,0.67,5,3
karma,0.67,11,4
neant,0.67,5,4
visie,1.5,8,4
volar,0.67,8,5
burro,0.67,7,4
doeth,0.67,9,5
ecrus,0.67,7,5
dekes,0.67,10,4
seepy,0.67,10,4
facts,0.25,10,5
pours,0.67,7,5
gambo,0.67,10,5
mensa,0.67,7,5
swept,0.25,10,5
oafos,1.5,8,4
shock,0.25,14,5
roams,0.67,7,5
potts,0.25,7,4
piker,0.67,11,5
tings,0.25,6,5
fount,0.67,8,5
daunt,0.67,6,5
battu,0.67,7,4
licit,0.67,7,4
cider,0.67,8,5
fords,0.25,9,5
palms,0.25,9,5
wheep,0.67,13,4
copes,0.67,9,5
whelm,0.25,13,5
usnea,1.5,5,5
staid,0.67,6,5
dosai,1.5,6,5
patka,0.67,11,4
gamas,0.67,8,4
drome,0.67,8,5
licks,0.25,11,5
aldea,1.5,6,4
snowy,0.25,11,5
quods,0.67,15,5
waker,0.67,12,5
syphs,0.0,13,4
stumm,0.25,9,4
chore,0.67,10,5
silts,0.25,5,4
topee,1.5,7,4
zeins,0.67,14,5
likin,0.67,9,4
topic,0.67,9,5
waved,0.67,12,5
worse,0.67,8,5
anear,1.5,5,4
rayah,0.67,11,4
clipe,0.67,9,5
teloi,1.5,5,5
thesp,0.25,10,5
dusts,0.25,6,4
pooch,0.67,12,4
lunts,0.25,5,5
vinny,0.25,11,4
purda,0.67,8,5
zonda,0.67,15,5
widen,0.67,9,5
jonty,0.25,15,5
mosed,0.67,8,5
hussy,0.25,11,4
escar,0.67,7,5
appay,0.67,12,3
tonic,0.67,7,5
tavah,0.67,11,4
budos,0.67,8,5
cures,0.67,7,5
retia,1.5,5,5
maile,1.5,7,5
undee,1.5,6,4
quois,1.5,14,5
vangs,0.25,9,5
kytes,0.25,12,5
rends,0.25,6,5
taiga,1.5,6,4
abets,0.67,7,5
licht,0.25,10,5
potae,1.5,7,5
funks,0.25,12,5
repas,0.67,7,5
sicht,0.25,10,5
mobes,0.67,9,5
ceorl,0.67,7,5
torte,0.67,5,4
snarl,0.25,5,5
might,0.25,11,5
genas,0.67,6,5
washy,0.25,14,5
etats,0.67,5,4
boink,0.67,11,5
perog,0.67,8,5
coden,0.67,8,5
crown,0.25,10,5
moity,0.67,10,5
helos,0.67,8,5
murky,0.25,14,5
gaitt,0.67,6,4
dance,0.67,8,5
grail,0.67,6,5
deads,0.67,7,4
mivvy,0.25,16,4
fugio,1.5,9,5
ursid,0.67,6,5
burin,0.67,7,5
mimsy,0.25,12,4
lotus,0.67,5,5
frons,0.25,8,5
durst,0.25,6,5
devis,0.67,9,5
parae,1.5,7,4
mands,0.25,8,5
sarin,0.67,5,5
ethic,0.67,10,5
whirs,0.25,11,5
bribe,0.67,9,4
rorty,0.25,8,4
nymph,0.0,15,5
billy,0.25,10,4
gighe,0.67,10,4
kalif,0.67,12,5
breds,0.25,8,5
cutey,0.67,10,5
mincy,0.25,12,5
modoc,0.67,10,4
allin,0.67,5,4
yeses,0.67,8,3
dwalm,0.25,11,5
balms,0.25,9,5
yucca,0.67,12,4
cyder,0.25,11,5
loped,0.67,8,5
kagus,0.67,10,5
smeek,0.67,11,4
ylems,0.25,10,5
peags,0.67,8,5
comps,0.25,11,5
nobly,0.25,10,5
cocoa,1.5,9,3
pedon,0.67,8,5
hithe,0.67,11,4
etrog,0.67,6,5
dumps,0.25,10,5
magic,0.67,10,5
bendy,0.25,11,5
seely,0.67,8,4
spawn,0.25,10,5
oxids,0.67,13,5
hakus,0.67,12,5
grads,0.25,7,5
abacs,0.67,9,4
focus,0.67,10,5
hides,0.67,9,5
hayed,0.67,12,5
stony,0.25,8,5
slims,0.25,7,4
tonka,0.67,9,5
ident,0.67,6,5
tansu,0.67,5,5
whirr,0.25,11,4
glike,0.67,10,5
votes,0.67,8,5
sigri,0.67,6,4
cades,0.67,8,5
layed,0.67,9,5
snail,0.67,5,5
fykes,0.25,15,5
ousia,4.0,5,5
nevus,0.67,8,5
wings,0.25,9,5
toile,1.5,5,5
junta,0.67,12,5
chair,0.67,10,5
regia,1.5,6,5
lavvy,0.25,14,4
fatty,0.25,11,4
bippy,0.25,14,4
hoody,0.67,12,4
bunco,0.67,9,5
zupan,0.67,16,5
spend,0.25,8,5
phubs,0.25,12,5
sluse,0.67,5,4
dwine,0.67,9,5
piety,0.67,10,5
pyrus,0.25,10,5
mogue,1.5,8,5
glows,0.25,9,5
kutch,0.25,14,5
ngana,0.67,6,3
piton,0.67,7,5
spalt,0.25,7,5
qipao,1.5,16,5
pakka,0.67,15,3
redly,0.25,9,5
furzy,0.25,20,5
arhat,0.67,8,4
fumer,0.67,10,5
addin,0.67,7,4
cardy,0.25,11,5
zooea,4.0,14,4
clegs,0.25,8,5
dhals,0.25,9,5
deshi,0.67,9,5
meany,0.67,10,5
lenos,0.67,5,5
cines,0.67,7,5
sneap,0.67,7,5
busti,0.67,7,5
belts,0.25,7,5
weans,0.67,8,5
globe,0.67,8,5
decad,0.67,9,4
tinks,0.25,9,5
bally,0.25,10,4
yokes,0.67,12,5
onsen,0.67,5,4
lover,0.67,8,5
iddat,0.67,7,4
terry,0.25,8,4
pogey,0.67,11,5
planh,0.25,10,5
lotte,0.67,5,4
clies,0.67,7,5
femes,0.67,10,4
deedy,0.67,10,3
acnes,0.67,7,5
rubli,0.67,7,5
lolos,0.67,5,3
rapes,0.67,7,5
manse,0.67,7,5
wiped,0.67,11,5
sabha,0.67,10,4
gamer,0.67,8,5
afear,1.5,8,4
adraw,0.67,9,4
outta,1.5,5,4
slaps,0.25,7,4
tarka,0.67,9,4
goyle,0.67,9,5
tomia,1.5,7,5
misdo,0.67,8,5
sayee,1.5,8,4
popsy,0.25,12,4
watch,0.25,13,5
riped,0.67,8,5
baths,0.25,10,5
tails,0.67,5,5
dinna,0.67,6,4
conin,0.67,7,4
bunya,0.67,10,5
skool,0.67,9,4
khors,0.25,12,5
hulks,0.25,12,5
lacet,0.67,7,5
lazes,0.67,14,5
seams,0.67,7,4
slyly,0.0,11,3
joins,0.67,12,5
doats,0.67,6,5
proke,0.67,11,5
kingy,0.25,13,5
ranny,0.25,8,4
raker,0.67,9,4
swoun,0.67,8,5
gular,0.67,6,5
sedum,0.67,8,5
opera,1.5,7,5
perns,0.25,7,5
redia,1.5,6,5
tekke,0.67,13,3
appel,0.67,9,4
waist,0.67,8,5
bolds,0.25,8,5
steer,0.67,5,4
podgy,0.25,12,5
humfs,0.25,13,5
stagy,0.25,9,5
opgaf,0.67,11,5
skeos,0.67,9,4
swerf,0.25,11,5
rhyta,0.25,11,5
pians,0.67,7,5
ulans,0.67,5,5
diver,0.67,9,5
penny,0.25,10,4
nanua,1.5,5,3
onlap,0.67,7,5
loyal,0.67,8,4
bohea,1.5,10,5
lirks,0.25,9,5
senti,0.67,5,5
pleon,0.67,7,5
daman,0.67,8,4
syned,0.25,9,5
mools,0.67,7,4
baked,0.67,12,5
rungs,0.25,6,5
brace,0.67,9,5
melba,0.67,9,5
sotto,0.67,5,3
dealt,0.67,6,5
bikes,0.67,11,5
fecit,0.67,10,5
flyer,0.25,11,5
sidhe,0.67,9,5
rengs,0.25,6,5
alkyd,0.25,13,5
veney,0.67,11,4
strag,0.25,6,5
apode,1.5,8,5
aigas,1.5,6,4
torts,0.25,5,4
sooth,0.67,8,4
stean,0.67,5,5
algin,0.67,6,5
gummy,0.25,13,4
nduja,0.67,13,5
ratan,0.67,5,4
durum,0.67,8,4
acies,1.5,7,5
unios,1.5,5,5
punts,0.25,7,5
filos,0.67,8,5
blype,0.25,12,5
molal,0.67,7,4
tiara,1.5,5,4
ratal,0.67,5,4
lowen,0.67,8,5
dawts,0.25,9,5
iddut,0.67,7,4
indew,0.67,9,5
surfs,0.25,8,4
brims,0.25,9,5
abaci,1.5,9,4
troke,0.67,9,5
mimed,0.67,10,4
rosha,0.67,8,5
elate,1.5,5,4
tilak,0.67,9,5
cycas,0.25,12,4
ornis,0.67,5,5
jives,0.67,15,5
mercy,0.25,12,5
dimes,0.67,8,5
cries,0.67,7,5
affix,0.67,18,4
ought,0.67,9,5
ansas,0.67,5,3
besti,0.67,7,5
romer,0.67,7,4
gisms,0.25,8,4
which,0.25,16,4
logon,0.67,6,4
weels,0.67,8,4
lefts,0.25,8,5
grove,0.67,9,5
hunky,0.25,15,5
peter,0.67,7,4
sorex,0.67,12,5
onely,0.67,8,5
hinny,0.25,11,4
folie,1.5,8,5
brose,0.67,7,5
gadjo,0.67,14,5
waste,0.67,8,5
clash,0.25,10,5
baloi,1.5,7,5
fiats,0.67,8,5
laigh,0.67,9,5
sills,0.25,5,3
hocus,0.67,10,5
pensy,0.25,10,5
oulks,0.67,9,5
druid,0.67,7,4
tiddy,0.25,10,4
filar,0.67,8,5
oxmen,0.67,14,5
spume,0.67,9,5
barms,0.25,9,5
herby,0.25,13,5
spazz,0.25,25,4
snits,0.25,5,4
sings,0.25,6,4
turds,0.25,6,5
stive,0.67,8,5
sesey,0.67,8,3
reiks,0.67,9,5
botew,0.67,10,5
macas,0.67,9,4
cloak,0.67,11,5
locum,0.67,9,5
pards,0.25,8,5
fovea,1.5,11,5
grots,0.25,6,5
yeesh,0.67,11,4
waler,0.67,8,5
nuddy,0.25,10,4
wudus,0.67,9,4
beare,1.5,7,4
caved,0.67,11,5
unsay,0.67,8,5
tecum,0.67,9,5
mythi,0.25,13,5
luces,0.67,7,5
ronne,0.67,5,4
gelds,0.25,7,5
fieri,1.5,8,4
hyena,0.67,11,5
dunno,0.67,6,4
sculp,0.25,9,5
brock,0.25,13,5
nitto,0.67,5,4
geeks,0.67,10,4
tirrs,0.25,5,4
dores,0.67,6,5
ering,0.67,6,5
limpa,0.67,9,5
metic,0.67,9,5
abers,0.67,7,5
begun,0.67,8,5
gimpy,0.25,13,5
posca,0.67,9,5
stoln,0.25,5,5
tuple,0.67,7,5
ramus,0.67,7,5
mahem,0.67,12,4
expos,0.67,14,5
hence,0.67,10,4
anted,0.67,6,5
fubsy,0.25,13,5
quibs,0.67,16,5
chimo,0.67,12,5
ferns,0.25,8,5
fosse,0.67,8,4
scowl,0.25,10,5
avers,0.67,8,5
hurry,0.25,11,4
gyred,0.25,10,5
mesem,0.67,9,3
grand,0.25,7,5
fauts,0.67,8,5
adapt,0.67,8,4
tapus,0.67,7,5
ruach,0.67,10,5
jeune,1.5,12,4
glume,0.67,8,5
fiqhs,0.25,20,5
hundo,0.67,9,5
cough,0.67,11,5
seism,0.67,7,4
ninja,0.67,12,4
cross,0.25,7,4
suete,1.5,5,4
lotas,0.67,5,5
bonds,0.25,8,5
jugum,0.67,15,4
brays,0.25,10,5
oldly,0.25,9,4
bangs,0.25,8,5
gunge,0.67,7,4
dense,0.67,6,4
imido,1.5,8,4
elops,0.67,7,5
gundi,0.67,7,5
rolls,0.25,5,4
tayra,0.67,8,4
nabby,0.25,12,4
hypha,0.25,16,4
ribas,0.67,7,5
tarzy,0.25,17,5
wazoo,1.5,17,4
styes,0.25,8,4
rayas,0.67,8,4
mayst,0.25,10,5
skier,0.67,9,5
slump,0.25,9,5
riles,0.67,5,5
mudar,0.67,8,5
powan,0.67,10,5
seirs,0.67,5,4
rares,0.67,5,4
fanal,0.67,8,4
abura,1.5,7,4
yabba,0.67,12,3
aguti,1.5,6,5
heaty,0.67,11,5
pirls,0.25,7,5
toned,0.67,6,5
units,0.67,5,5
nival,0.67,8,5
powny,0.25,13,5
rybat,0.25,10,5
poult,0.67,7,5
rawks,0.25,12,5
meums,0.67,9,4
sober,0.67,7,5
boers,0.67,7,5
ghast,0.25,9,5
grapy,0.25,11,5
moton,0.67,7,4
acker,0.67,11,5
rohes,0.67,8,5
pilch,0.25,12,5
snarf,0.25,8,5
wexes,0.67,15,4
aspic,0.67,9,5
tassa,0.67,5,3
hiois,1.5,8,4
cloys,0.25,10,5
ratio,1.5,5,5
siped,0.67,8,5
amice,1.5,9,5
patia,1.5,7,4
gawky,0.25,16,5
craws,0.25,10,5
bunas,0.67,7,5
kuzus,0.67,18,4
detag,0.67,7,5
teaed,1.5,6,4
orped,0.67,8,5
smerk,0.25,11,5
gyron,0.25,9,5
hasks,0.25,12,4
netts,0.25,5,4
niffs,0.25,11,4
hoped,0.67,11,5
bokos,0.67,11,4
risen,0.67,5,5
zanze,0.67,23,4
gripy,0.25,11,5
hecht,0.25,13,4
duple,0.67,8,5
crate,0.67,7,5
mahrs,0.25,10,5
colas,0.67,7,5
solar,0.67,5,5
edema,1.5,8,4
tulsi,0.67,5,5
couch,0.67,12,4
hasta,0.67,8,4
eques,1.5,14,4
doper,0.67,8,5
lokes,0.67,9,5
flout,0.67,8,5
frize,0.67,17,5
thewy,0.25,14,5
tzars,0.25,14,5
blows,0.25,10,5
scrip,0.25,9,5
arced,0.67,8,5
sixty,0.25,15,5
izars,0.67,14,5
biome,1.5,9,5
kikes,0.67,13,4
verst,0.25,8,5
trifa,0.67,8,5
gyppo,0.25,13,4
onium,1.5,7,5
sowfs,0.25,11,4
croft,0.25,10,5
tanhs,0.25,8,5
canso,0.67,7,5
labra,0.67,7,4
bords,0.25,8,5
lilos,0.67,5,4
stich,0.25,10,5
hangi,0.67,9,5
arars,0.67,5,3
hules,0.67,8,5
bocca,0.67,11,4
bidis,0.67,8,4
weeps,0.67,10,4
nevel,0.67,8,4
camis,0.67,9,5
irate,1.5,5,5
rasam,0.67,7,4
barby,0.25,12,4
camps,0.25,11,5
nomos,0.67,7,4
adieu,4.0,6,5
furze,0.67,17,5
assot,0.67,5,4
hamed,0.67,11,5
sprit,0.25,7,5
mingi,0.67,8,4
elbow,0.67,10,5
kriol,0.67,9,5
fawns,0.25,11,5
gurry,0.25,9,4
rudds,0.25,7,4
noels,0.67,5,5
sears,0.67,5,4
skyey,0.25,15,4
seter,0.67,5,4
shoud,0.67,9,5
entre,0.67,5,4
inkle,0.67,9,5
canty,0.25,10,5
jello,0.67,12,4
conex,0.67,14,5
ioras,1.5,5,5
onery,0.67,8,5
brios,0.67,7,5
tsuba,0.67,7,5
kotos,0.67,9,4
anile,1.5,5,5
queyu,1.5,17,4
redon,0.67,6,5
wrick,0.25,14,5
veins,0.67,8,5
blite,0.67,7,5
bares,0.67,7,5
jived,0.67,16,5
amber,0.67,9,5
napes,0.67,7,5
ewest,0.67,8,4
thorn,0.25,8,5
matra,0.67,7,4
lethe,0.67,8,4
makes,0.67,11,5
azyme,0.67,19,5
caxon,0.67,14,5
raird,0.67,6,4
unket,0.67,9,5
unagi,1.5,6,5
dexie,1.5,13,4
chose,0.67,10,5
alick,0.67,11,5
roopy,0.67,10,4
buchu,0.67,12,4
loran,0.67,5,5
pulps,0.25,9,4
pasag,0.67,8,4
oints,0.67,5,5
rites,0.67,5,5
kivas,0.67,12,5
farce,0.67,10,5
gares,0.67,6,5
ranns,0.25,5,4
aygre,0.67,9,5
topos,0.67,7,4
samen,0.67,7,5
indie,1.5,6,4
rarer,0.67,5,3
alkyl,0.25,12,4
suras,0.67,5,4
commo,0.67,11,3
lynes,0.25,8,5
warby,0.25,13,5
abbes,0.67,9,4
tases,0.67,5,4
nobby,0.25,12,4
ilial,1.5,5,3
scats,0.25,7,4
pauls,0.67,7,5
bergs,0.25,8,5
brond,0.25,8,5
aerie,4.0,5,4
dross,0.25,6,4
cutin,0.67,7,5
peare,1.5,7,4
barge,0.67,8,5
pogos,0.67,8,4
scrap,0.25,9,5
ninny,0.25,8,3
stela,0.67,5,5
fides,0.67,9,5
calla,0.67,7,3
pyxed,0.25,18,5
lough,0.67,9,5
scrag,0.25,8,5
panni,0.67,7,4
shrub,0.25,10,5
aimer,1.5,7,5
skyed,0.25,13,5
tries,0.67,5,5
soily,0.67,8,5
hijab,0.67,17,5
cuber,0.67,9,5
guans,0.67,6,5
supra,0.67,7,5
rhies,0.67,8,5
kecks,0.25,15,4
spado,0.67,8,5
smelt,0.25,7,5
wheat,0.67,11,5
siris,0.67,5,3
apsos,0.67,7,4
fleur,0.67,8,5
pight,0.25,11,5
fyces,0.25,13,5
spurs,0.25,7,4
pelfs,0.25,10,5
anent,0.67,5,4
knive,0.67,12,5
tawse,0.67,8,5
advew,0.67,12,5
crool,0.67,7,4
dwang,0.25,10,5
crank,0.25,11,5
scalp,0.25,9,5
pince,0.67,9,5
fraps,0.25,10,5
opine,1.5,7,5
natya,0.67,8,4
fired,0.67,9,5
chela,0.67,10,5
yarta,0.67,8,4
sower,0.67,8,5
avast,0.67,8,4
swots,0.25,8,4
lobos,0.67,7,4
board,0.67,8,5
foehn,0.67,11,5
citer,0.67,7,5
ovolo,1.5,8,3
saros,0.67,5,4
tawai,1.5,8,4
speer,0.67,7,4
relay,0.67,8,5
retry,0.25,8,4
spane,0.67,7,5
felix,0.67,15,5
simps,0.25,9,4
gavot,0.67,9,5
meint,0.67,7,5
vizir,0.67,17,4
faxes,0.67,15,5
spite,0.67,7,5
bates,0.67,7,5
